filename,data_density,visual_encoding,text_annotation,domain_schema,color_symbol,aesthetic_order,cognitive_load,vc_score
wsj135.png,0.4,0.3,0.45,0.2,0.3,0.2,0.25,0.3
SciVisJ.1025.11.png,0.35,0.3,0.45,0.4,0.4,0.3,0.35,0.36
visMost97.png,0.15,0.25,0.3,0.15,0.35,0.12,0.15,0.2
economist_daily_chart_165.png,0.55,0.35,0.45,0.25,0.3,0.35,0.35,0.37
whoO06_2.png,0.65,0.45,0.6,0.45,0.4,0.4,0.45,0.48
InfoVisC.133.5(3).png,0.4,0.55,0.3,0.45,0.4,0.5,0.5,0.44
whoQ44_4.png,0.5,0.45,0.45,0.35,0.5,0.35,0.45,0.43
InfoVisJ.619.17.png,0.55,0.55,0.45,0.6,0.5,0.5,0.6,0.54
InfoVisJ.1558.11(3).png,0.4,0.35,0.05,0.3,0.4,0.35,0.3,0.3
wsj603.png,0.5,0.4,0.55,0.45,0.4,0.35,0.45,0.44
VisJ.1515.12.png,0.3,0.35,0.0,0.55,0.35,0.3,0.45,0.33
v483_n7391_8_f5.png,0.7,0.65,0.4,0.8,0.65,0.45,0.7,0.62
VisJ.1499.8.png,0.5,0.65,0.15,0.75,0.55,0.4,0.6,0.52
v487_n7406_7_f3.png,0.75,0.8,0.3,0.7,0.75,0.65,0.7,0.67
SciVisJ.1236.10.png,0.85,0.75,0.35,0.8,0.6,0.7,0.8,0.73
SciVisJ.2926.1.png,0.85,0.8,0.05,0.85,0.8,0.75,0.8,0.75
VisJ.1197.5(3).png,0.85,0.75,0.0,0.7,0.3,0.9,0.75,0.7
InfoVisJ.2699.12.png,0.82,0.65,0.2,0.65,0.4,0.78,0.75,0.68
SciVisJ.980.12(2).png,0.7,0.8,0.05,0.85,0.75,0.65,0.8,0.72
InfoVisJ.2402.12(1).png,0.92,0.8,0.3,0.85,0.55,0.9,0.9,0.82
VisC.503.6.png,0.15,0.2,0.2,0.25,0.15,0.1,0.15,0.18
whoQ50_2.png,0.4,0.25,0.45,0.25,0.15,0.25,0.3,0.3
InfoVisC.211.18.png,0.3,0.15,0.2,0.15,0.05,0.15,0.15,0.18
whoJ44.png,0.25,0.2,0.4,0.3,0.2,0.15,0.2,0.25
wsj340.png,0.2,0.25,0.45,0.15,0.35,0.15,0.2,0.25
InfoVisC.73.6.png,0.2,0.3,0.55,0.3,0.2,0.35,0.3,0.3
VisC.167.11.png,0.5,0.35,0.35,0.4,0.35,0.3,0.35,0.37
VASTJ.2908.2.png,0.65,0.45,0.6,0.65,0.4,0.4,0.6,0.55
economist_daily_chart_153.png,0.45,0.4,0.3,0.25,0.35,0.3,0.35,0.35
InfoVisJ.1236.13.png,0.65,0.7,0.4,0.6,0.75,0.6,0.65,0.63
InfoVisJ.1558.9.png,0.55,0.65,0.2,0.7,0.5,0.55,0.65,0.55
VisJ.1949.18(3).png,0.65,0.6,0.0,0.75,0.55,0.55,0.7,0.55
SciVisJ.822.18.png,0.4,0.35,0.2,0.45,0.4,0.3,0.4,0.36
InfoVisJ.349.1.png,0.7,0.65,0.05,0.75,0.25,0.7,0.75,0.6
VASTJ.422.7.png,0.55,0.55,0.4,0.5,0.6,0.4,0.55,0.5
VASTJ.2012.9(2).png,0.75,0.72,0.82,0.65,0.6,0.7,0.75,0.72
v488_n7412_9_f1.png,0.72,0.75,0.65,0.8,0.75,0.65,0.75,0.73
v488_n7409_12_f4.png,0.55,0.6,0.65,0.75,0.4,0.45,0.65,0.58
v488_n7409_19_f1.png,0.85,0.8,0.75,0.9,0.8,0.7,0.85,0.82
visMost573.png,0.75,0.8,0.65,0.7,0.85,0.7,0.75,0.75
VisJ.1541.1(2).png,0.8,0.65,0.15,0.75,0.45,0.7,0.65,0.62
VASTJ.1.7.png,0.82,0.8,0.05,0.85,0.65,0.7,0.8,0.75
vis734.png,0.92,0.75,0.85,0.55,0.7,0.8,0.85,0.82
VASTC.13.9.png,0.8,0.85,0.85,0.8,0.75,0.75,0.85,0.81
InfoVisC.65.5(2).png,0.82,0.7,0.05,0.75,0.15,0.85,0.85,0.72
InfoVisJ.1149.6(1).png,0.88,0.82,0.78,0.92,0.72,0.85,0.92,0.86
