filename,data_density,visual_encoding,text_annotation,domain_schema,color_symbol,aesthetic_order,cognitive_load,vc_score
visMost97.png,0.2,0.3,0.35,0.2,0.4,0.15,0.15,0.25
wsj135.png,0.45,0.35,0.5,0.3,0.35,0.3,0.3,0.36
economist_daily_chart_165.png,0.55,0.4,0.5,0.3,0.35,0.45,0.4,0.42
whoO06_2.png,0.72,0.55,0.65,0.55,0.45,0.55,0.55,0.57
SciVisJ.1025.11.png,0.45,0.35,0.55,0.5,0.45,0.45,0.45,0.46
InfoVisC.133.5(3).png,0.5,0.6,0.3,0.45,0.5,0.55,0.55,0.49
whoQ44_4.png,0.55,0.5,0.5,0.45,0.55,0.5,0.55,0.51
wsj603.png,0.55,0.5,0.65,0.55,0.45,0.45,0.5,0.52
InfoVisJ.619.17.png,0.65,0.72,0.6,0.65,0.65,0.68,0.72,0.67
InfoVisJ.1558.11(3).png,0.5,0.4,0.02,0.35,0.45,0.45,0.35,0.36
VisJ.1515.12.png,0.3,0.4,0.0,0.5,0.35,0.45,0.45,0.35
v483_n7391_8_f5.png,0.72,0.7,0.45,0.78,0.65,0.6,0.72,0.66
VisJ.1499.8.png,0.55,0.65,0.2,0.75,0.55,0.5,0.65,0.55
v487_n7406_7_f3.png,0.75,0.78,0.35,0.7,0.75,0.7,0.72,0.68
SciVisJ.1236.10.png,0.85,0.75,0.35,0.78,0.65,0.8,0.82,0.71
SciVisJ.2926.1.png,0.82,0.85,0.05,0.88,0.8,0.78,0.85,0.72
VisJ.1197.5(3).png,0.85,0.78,0.02,0.65,0.3,0.88,0.82,0.61
InfoVisJ.2699.12.png,0.82,0.72,0.2,0.7,0.45,0.8,0.78,0.64
SciVisJ.980.12(2).png,0.72,0.78,0.05,0.82,0.75,0.7,0.8,0.66
InfoVisJ.2402.12(1).png,0.85,0.75,0.55,0.7,0.6,0.8,0.82,0.72
VisC.503.6.png,0.15,0.2,0.25,0.3,0.2,0.15,0.15,0.2
whoQ50_2.png,0.5,0.3,0.55,0.35,0.15,0.35,0.35,0.36
whoJ44.png,0.25,0.25,0.4,0.35,0.2,0.15,0.2,0.26
InfoVisC.211.18.png,0.35,0.25,0.25,0.2,0.1,0.25,0.2,0.23
wsj340.png,0.25,0.3,0.45,0.2,0.35,0.2,0.2,0.28
InfoVisC.73.6.png,0.3,0.4,0.65,0.35,0.3,0.45,0.4,0.41
VisC.167.11.png,0.6,0.45,0.4,0.45,0.4,0.45,0.4,0.45
economist_daily_chart_153.png,0.55,0.45,0.35,0.3,0.4,0.45,0.4,0.41
VASTJ.2908.2.png,0.72,0.55,0.65,0.7,0.45,0.55,0.68,0.61
InfoVisJ.1236.13.png,0.7,0.75,0.45,0.6,0.8,0.65,0.7,0.66
InfoVisJ.1558.9.png,0.62,0.7,0.2,0.72,0.55,0.65,0.72,0.59
VisJ.1949.18(3).png,0.65,0.6,0.02,0.7,0.55,0.6,0.65,0.54
InfoVisJ.349.1.png,0.72,0.7,0.05,0.75,0.3,0.78,0.8,0.59
SciVisJ.822.18.png,0.45,0.5,0.2,0.5,0.45,0.35,0.5,0.42
VASTJ.422.7.png,0.65,0.6,0.45,0.6,0.7,0.55,0.65,0.6
VASTJ.2012.9(2).png,0.82,0.78,0.88,0.72,0.7,0.8,0.82,0.79
v488_n7412_9_f1.png,0.75,0.78,0.72,0.8,0.78,0.68,0.76,0.75
v488_n7409_12_f4.png,0.6,0.65,0.72,0.78,0.45,0.55,0.7,0.64
v488_n7409_19_f1.png,0.82,0.78,0.75,0.88,0.82,0.72,0.85,0.8
visMost573.png,0.78,0.82,0.68,0.75,0.85,0.76,0.79,0.78
VASTJ.1.7.png,0.82,0.85,0.05,0.82,0.72,0.75,0.82,0.69
VisJ.1541.1(2).png,0.82,0.75,0.15,0.72,0.55,0.78,0.72,0.64
vis734.png,0.92,0.78,0.82,0.65,0.72,0.85,0.88,0.8
InfoVisC.65.5(2).png,0.85,0.78,0.05,0.75,0.2,0.88,0.9,0.63
VASTC.13.9.png,0.82,0.78,0.88,0.72,0.75,0.8,0.82,0.8
InfoVisJ.1149.6(1).png,0.82,0.78,0.72,0.8,0.75,0.78,0.85,0.79
